"country","year","province","municipality","waste_generation_tpd","food_waste_share_pct","paper_cardboard_share_pct","plastic_share_pct","known_share_pct","unknown_or_other_share_pct","estimated_lhv_low_food_unknown_zero_mj_per_kg","estimated_lhv_mixed_food_unknown_zero_mj_per_kg","estimated_lhv_mixed_food_other5_mj_per_kg","existing_feedstock_risk_score_0_100","source_note"
"Indonesia","2025","Bali","Kabupaten Klungkung","112.23","30.05","10.05","12.03","52.13","48","7.258","8.01","10.41","48.1","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bali","Kabupaten Bangli","113.86","27.7","5.3","10.3","43.3","57","5.815","6.508","9.358","59.05","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bali","Kabupaten Karangasem","281.22","10","11","20","41","59","9.852","10.102","13.052","37.3","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bali","Kabupaten Buleleng","414.08","4","6.69","14.69","25.38","75","6.922","7.022","10.772","46.5","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Banten","Kabupaten Lebak","612.63","30","10","15","55","45","8.428","9.179","11.429","60.5","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bengkulu","Kabupaten Bengkulu Utara","185.86","31","10","40","81","19","18.388","19.163","20.113","25.8","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bengkulu","Kabupaten Seluma","107.5","80","5","2","87","13","4.315","6.316","6.966","99.8","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bengkulu","Kabupaten Lebong","45.91","64.45","8.56","12.84","85.85","14","8.577","10.189","10.889","92.15","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","DKI Jakarta","Kota Jakarta Selatan","2005.37","49.87","17.24","22.95","90.06","10","13.31","14.558","15.058","59.6","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","DKI Jakarta","Kota Jakarta Timur","2455.12","49.87","17.24","22.95","90.06","10","13.31","14.558","15.058","61.6","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","DKI Jakarta","Kota Jakarta Pusat","858.09","49.87","17.24","22.95","90.06","10","13.31","14.558","15.058","60.2","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","DKI Jakarta","Kota Jakarta Barat","1943.13","49.87","17.24","22.95","90.06","10","13.31","14.558","15.058","58.1","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Gorontalo","Kabupaten Bone Bolango","56.86","29.22","14.31","21.22","64.75","35","11.482","12.213","13.963","43.05","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jambi","Kota Sungai Penuh","51.11","41.6","18.19","17.3","77.09","23","10.912","11.952","13.102","55.6","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Barat","Kabupaten Cianjur","1305.16","61.05","6.94","14.39","82.38","18","8.843","10.37","11.27","90.8","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Barat","Kabupaten Garut","1141.12","59.3","6.3","20.5","86.1","14","11.116","12.6","13.3","83.35","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Barat","Kabupaten Ciamis","501.02","38","16","20","74","26","11.546","12.497","13.797","39.3","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Barat","Kabupaten Kuningan","485.57","40","10","16","66","34","9.177","10.177","11.877","67.95","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Barat","Kabupaten Cirebon","1249.95","10","10","40","60","40","17.65","17.9","19.9","29.95","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Barat","Kabupaten Sumedang","490.66","30","10.5","27.5","68","32","13.462","14.212","15.812","50.05","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
