"country","year","total_disposed_tonnes","food_disposed_tonnes","paper_cardboard_disposed_tonnes","plastic_disposed_tonnes","wood_disposed_tonnes","textile_leather_disposed_tonnes","horticultural_disposed_tonnes","food_share_disposed_pct","paper_share_disposed_pct","plastic_share_disposed_pct","wood_share_disposed_pct","textile_share_disposed_pct","horticultural_share_disposed_pct","lin2015_wet_lhv_kj_per_kg","lin2015_wet_lhv_mj_per_kg","source"
"Singapore","2020","2841000","539000","712000","832000","109000","131000","64000","18.972","25.062","29.285","3.837","4.611","2.253","10066","10.066","data.gov.sg disposed_tonnes by category; Lin 2015 Eq.26"
"Singapore","2021","3118000","663000","699000","924000","76000","182000","55000","21.264","22.418","29.634","2.437","5.837","1.764","9835.4","9.835","data.gov.sg disposed_tonnes by category; Lin 2015 Eq.26"
"Singapore","2022","3197000","667000","671000","944000","121000","249000","32000","20.863","20.988","29.528","3.785","7.789","1.001","10015.8","10.016","data.gov.sg disposed_tonnes by category; Lin 2015 Eq.26"
"Singapore","2023","3306000","623000","863000","909000","149000","206000","38000","18.845","26.104","27.495","4.507","6.231","1.149","10037.3","10.037","data.gov.sg disposed_tonnes by category; Lin 2015 Eq.26"
"Singapore","2024","3332000","646000","871000","875000","160000","199000","40000","19.388","26.14","26.261","4.802","5.972","1.2","9774.8","9.775","data.gov.sg disposed_tonnes by category; Lin 2015 Eq.26"
