country,year,composition_basis,final_risk_score_0_100,best_available_lhv_mj_per_kg,lin2015_lhv_mj_per_kg,relative_humidity_pct,precipitation_mm_total,fiscal_year_matched,nea_wte_generated_mwh,nea_wte_exported_mwh,exported_share_pct,public_wte_design_capacity_tpd_sum,public_wte_power_capacity_mw_sum,caveat
Singapore,2020,singapore_disposed_waste_proxy,29.87,11.697,10.066,79.146,1886.6,FY2020,678012,527807,77.85,9710,278,"NEA WTE electricity is a public operating proxy, not complete facility-level performance for all Singapore WTE plants."
Singapore,2021,singapore_disposed_waste_proxy,39.62,11.495,9.835,78.365,2809.6,FY2021,545170,422036,77.41,9710,278,"NEA WTE electricity is a public operating proxy, not complete facility-level performance for all Singapore WTE plants."
Singapore,2022,singapore_disposed_waste_proxy,36.32,11.37,10.016,78.529,2207.8,FY2022,400223,310807,77.66,9710,278,"NEA WTE electricity is a public operating proxy, not complete facility-level performance for all Singapore WTE plants."
Singapore,2023,singapore_disposed_waste_proxy,32.91,11.662,10.037,77.189,2411.2,FY2023,277946,180760,65.03,9710,278,"NEA WTE electricity is a public operating proxy, not complete facility-level performance for all Singapore WTE plants."
Singapore,2024,singapore_disposed_waste_proxy,34.42,11.58,9.775,77.863,2432,FY2024,289138,193909,67.06,9710,278,"NEA WTE electricity is a public operating proxy, not complete facility-level performance for all Singapore WTE plants."
