model,term,coef_log,cluster_se_by_date,p_value_clustered,ci_low,ci_high,pct_change_for_10unit,nobs,r_squared,clusters_date
B_date_clustered_current_weather,temp_mean_c,0.0045550382994467495,0.0005704119354642572,1.3992643858671893e-15,0.00343705144958502,0.005673025149308479,4.6603734315753265,28000,0.9705205517565952,1120
B_date_clustered_current_weather,relative_humidity_est_pct,-0.0008203169845549226,0.0001864858569256185,1.0884302104171114e-05,-0.0011858225477552242,-0.0004548114213546209,-0.81696156607034,28000,0.9705205517565952,1120
B_date_clustered_current_weather,precipitation_mm,-0.00020053343898274534,0.00022118435691816023,0.3645999435483678,-0.0006340468124859921,0.00023297993452050145,-0.2003325050176974,28000,0.9705205517565952,1120
B+C_date_clustered_lag1_lag2_lag3,temp_mean_c,0.004751476152168619,0.0005673716933982902,5.54406447587275e-17,0.003639448067260468,0.00586350423707677,4.866168084917599,28000,0.9707614208701321,1120
B+C_date_clustered_lag1_lag2_lag3,relative_humidity_est_pct,-0.000902366076711339,0.00018378994166816956,9.118394616655272e-07,-0.0012625877431016687,-0.0005421444103210093,-0.8983069725312598,28000,0.9707614208701321,1120
B+C_date_clustered_lag1_lag2_lag3,precipitation_mm,-0.00015593451480007192,0.00021669541020922096,0.4717698977394815,-0.0005806497144252782,0.0002687806848251343,-0.1558130001048652,28000,0.9707614208701321,1120
B+C_date_clustered_lag1_lag2_lag3,rain_lag1_mm,0.0006408955855797008,0.00018652317992797277,0.0005903483158409069,0.00027531687063898984,0.0010064743005204118,0.6429537158104459,28000,0.9707614208701321,1120
B+C_date_clustered_lag1_lag2_lag3,rain_lag2_mm,0.00023691348567642456,0.00010401987674970395,0.022751673542139365,3.303827357070948e-05,0.00044078869778213964,0.2371943474309024,28000,0.9707614208701321,1120
B+C_date_clustered_lag1_lag2_lag3,rain_lag3_mm,0.00015255018174812818,0.00011962484661177723,0.20222492154459426,-8.191020926708351e-05,0.00038701057276333987,0.152666598728457,28000,0.9707614208701321,1120
B+C_date_clustered_cumulative_prev_rain,temp_mean_c,0.004663610989233454,0.0005687904049624663,2.420461764900203e-16,0.003548802280755068,0.0057784196977118405,4.774067723457609,28000,0.9706853676425748,1120
B+C_date_clustered_cumulative_prev_rain,relative_humidity_est_pct,-0.0008652931476990694,0.00018528336000673624,3.0104264336360985e-06,-0.0012284418602468415,-0.0005021444351512973,-0.8615602611049877,28000,0.9706853676425748,1120
B+C_date_clustered_cumulative_prev_rain,precipitation_mm,-0.0001552606548482422,0.0002049225637628916,0.44865739945624905,-0.0005569014994431225,0.00024638018974663814,-0.15514018784753558,28000,0.9706853676425748,1120
B+C_date_clustered_cumulative_prev_rain,rain_3d_prev_sum_mm,0.000343491361353232,9.14214658429667e-05,0.00017180542339472168,0.00016430858088715855,0.0005226741418193055,0.3440819689649599,28000,0.9706853676425748,1120
B+C_date_clustered_cumulative_prev_rain,rain_7d_prev_sum_mm,-5.466179070144629e-06,6.218438294178512e-05,0.9299539606264071,-0.00012734533003689035,0.0001164129718966011,-0.0054660296773034744,28000,0.9706853676425748,1120
