country,year,province,municipality,waste_generation_tpd,managed_waste_pct,unmanaged_waste_pct,leaked_to_environment_pct,food_waste_share_pct,paper_cardboard_share_pct,plastic_share_pct,estimated_lhv_low_mj_per_kg,estimated_lhv_mixed_mj_per_kg,existing_feedstock_risk_score_0_100,risk_weighted_waste_tpd,lhv_deficit_score_0_100,load_score_0_100,final_priority_score_0_100,priority_class
Indonesia,2025,Sulawesi Utara,Kota Kotamobagu,65.21,0.05,0.95,0.07,53.5,11.8,8.5,6.929,8.268,83.75,54.613,100,25.98,71.36,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Jawa Timur,Kabupaten Nganjuk,743.93,0.49,0.51,0.4,61.5,13.1,12.3,8.904,10.442,73,543.069,77.4,75.56,71.35,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Jawa Barat,Kabupaten Kuningan,485.57,0.12,0.88,0.34,40,10,16,9.177,10.177,67.95,329.945,70.58,66.84,71.15,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Jawa Tengah,Kabupaten Semarang,544.36,0.13,0.87,0.36,71.56,4.25,18.52,10.47,12.26,83.85,456.446,38.25,69.18,70.8,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Sulawesi Utara,Kabupaten Bolaang Mongondow,128.69,0.01,0.99,0.98,49,9.45,15.6,9.256,10.482,85.85,110.48,68.6,39.76,70.54,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Aceh,Kabupaten Aceh Timur,184.56,0,1,0.58,25,9,15,8.111,8.736,61.5,113.504,97.22,47.09,70.1,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Bengkulu,Kabupaten Lebong,45.91,0,1,0.74,64.45,8.56,12.84,8.577,10.189,92.15,42.306,85.58,18.93,70.05,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Kalimantan Tengah,Kabupaten Kotawaringin Timur,245.44,0.03,0.97,0.82,53,15,15,9.946,11.272,83.35,204.574,51.35,52.91,69.86,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Sumatera Selatan,Kabupaten Ogan Komering Ulu,156.02,0,1,0.63,35,10,15,8.604,9.48,70.45,109.916,84.9,43.67,69.74,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Maluku Utara,Kabupaten Halmahera Timur,50.24,0.05,0.95,0.81,43.57,7.57,13.03,7.778,8.868,82.1,41.247,100,20.73,69.21,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Jawa Tengah,Kabupaten Wonosobo,368.2,0.7,0.3,0.3,71.3,2.5,13.1,8.061,9.845,75,276.15,98.47,61.18,68.8,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Sumatera Utara,Kota Tanjung Balai,94.03,0.04,0.96,0.34,64.02,9.5,13.98,9.148,10.75,85.4,80.302,71.3,33.39,68.57,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Bali,Kabupaten Buleleng,414.08,0.13,0.87,0.5,4,6.69,14.69,6.922,7.022,46.5,192.547,100,63.58,68.4,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Jawa Timur,Kabupaten Pamekasan,280.74,0.61,0.39,0.39,55,7,13,8.087,9.463,74.4,208.871,97.83,55.65,68.15,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Jawa Timur,Kabupaten Probolinggo,477.31,0.04,0.96,0.84,52.02,16.6,16.91,10.897,12.198,79.1,377.552,27.57,66.49,67.55,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Sulawesi Utara,Kota Manado,296.05,0.05,0.95,0.12,51,13,16,9.989,11.265,74.6,220.853,50.27,56.73,67.43,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Jawa Tengah,Kabupaten Klaten,650.07,0.26,0.74,0.49,60,5,20,10.758,12.259,80.15,521.031,31.05,72.8,67.2,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Kalimantan Selatan,Kabupaten Hulu Sungai Utara,119.13,0.34,0.66,0.66,49.1,8.41,13.8,8.398,9.626,76.9,91.611,90.05,38.19,66.28,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Jawa Barat,Kota Cirebon,216.35,0.06,0.94,0.2,49.22,5.56,19.01,10.066,11.297,77.3,167.239,48.35,50.33,65.92,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Sulawesi Selatan,Kabupaten Bulukumba,192.27,0.22,0.78,0.78,28.5,9.25,15.18,8.341,9.054,60.95,117.189,91.48,47.93,65.71,Tier 2: strong candidate for targeted waste-quality intervention
Indonesia,2025,Maluku Utara,Kabupaten Pulau Morotai,33.17,0.03,0.97,0.58,37,6,10,6.122,7.047,78.3,25.972,100,12.44,65.69,Tier 2: strong candidate for targeted waste-quality intervention
